id,title,speakers,description,link
33,Introducing Office Add-ins??for OneNote Online,Vijay Sharma,"Office Add-ins will be soon available on OneNote Online. Learn how you can create an Add-ins for OneNote. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2a00368aad4b420ba779a5da00c47197"" />",https://s.ch9.ms/Events/Build/2016/P561
34,OOF Status and Find Meeting Times API,Shreedevi Padmasini,"Want to use our latest Free/Busy capability to get meeting time suggestions?&nbsp; Want to get./set your OOF status?&nbsp; This session is for you! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:37f4ce418b9c4c528b4fa5da00c47191"" />",https://s.ch9.ms/Events/Build/2016/P560
35,"OneDrive API ??Overview, What?? New, and Scenarios",Sean Maloney,"Overview of the OneDrive API for OneDrive and OneDrive for Business,&nbsp;highlights on&nbsp;what?? new, and a quick&nbsp;overview of the range of scenarios you can enable. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a0bf383a373d4b41bba5a5da00c47188"" />",https://s.ch9.ms/Events/Build/2016/P559
36,Building Office 365 Group Connectors,Simeon Duong,"Want to see the easiest way to create rich content inside Office 365 Groups? Take a look at Connectors! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cc56b126af2f4798b55ca5da00c4717d"" />",https://s.ch9.ms/Events/Build/2016/P558
37,What?? New in Excel JavaScript APIs v.1.2 in Office Add-ins,Yu Liu,"Excel has a rich JS API with lots of new functionality that enables&nbsp;add-ins to do deep manipulation of Excel data! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f77030dedb1d4256a06fa5da00c47176"" />",https://s.ch9.ms/Events/Build/2016/P557
38,Working with Excel Documents with the Microsoft Graph,Sudhi Ramamurthy,"Worksheets, Tables, Ranges, Charts and more Excel capabilities&nbsp;via the new Excel REST API available in Microsoft Graph. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cac93bfe41e8429399e6a5da00c4716e"" />",https://s.ch9.ms/Events/Build/2016/P556
39,WebHooks in the Microsoft Graph,Gareth Jones,"Do you want your app to respond dynamically to changes in data stored in Office 365 using the Microsoft Graph without polling? Webhooks are for you! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:9d2b1d55c76d4a4fa6c8a5da00c47168"" />",https://s.ch9.ms/Events/Build/2016/P555
40,Office Add-ins in Office for Mac,Harrison Shapley,"Office Add-ins will soon be available on the Office for Mac. Learn how you can side-load your add-in as well as debug using VorlonJS on the Mac. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8c60055427bd4ae79641a5da00c4715a"" />",https://s.ch9.ms/Events/Build/2016/P554
41,Build Office Add-ins with Any Code Editor and Office Online,Harrison Shapley,"Don't use Visual Studio? Don't worry! It's easy to build Office add-ins using your favorite development tools. In this video, we'll use the Yeoman generator, VS Code, and the browser to create and test an add-in. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a23c223b84fc4155932ba5da00c47150"" />",https://s.ch9.ms/Events/Build/2016/P552
42,Add-in Commands in the Office Ribbon,Humberto Lezama Guadarrama,"Create custom ribbon buttons, tabs and much more to deeply integrate your&nbsp;web add-in with Office. In this overview you will learn all about add-in commands, the cool new feature that enables web developers to extend the Office User Interface. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0a7f48bc028945eaadbaa5da00c47146"" />",https://s.ch9.ms/Events/Build/2016/P551
43,Using Office Open XML in Word Office Add-ins,Stephanie Krieger,"Learn how you can leverage Office Open XML to create amazing add-ins for Word! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3771029d28824682801ba5da00c4713a"" />",https://s.ch9.ms/Events/Build/2016/P550
44,What's New in Word JavaScript APIs,Michael Saunders,"Check out the new&nbsp;APIs we're enabling for&nbsp;Word add-ins and use them across Office platforms! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:779b4f80f8d3444c884ba5da00c4712b"" />",https://s.ch9.ms/Events/Build/2016/P549
45,"Native iOS, Android, & Windows Apps from C# and XAML with Xamarin.Forms",James Montemagno,"Building cross-platform native UIs with one shared codebase was once just a dream. With Xamarin.Forms, this dream is now a reality. Xamarin.Forms allows you to build a native UI for three platforms with one shared C# codebase. During this session we will cover the Xamarin.Forms library to share up to 99% of your code across iOS, Android, and Windows Phone. Moreover, we will really focus on the code with several live coding adventures throughout the entire session. When you leave you will have the knowledge to create your first iOS, Android, and Windows Phone mobile apps in C# with Xamarin and Xamarin.Forms. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:7488db851eff47d789c8a5da00c470eb"" />",https://s.ch9.ms/Events/Build/2016/P548
46,Using Azure PaaS Ecosystem to Design and Implement High-Performance Web Sites,Pranav Rastogi,"<p>Microsoft Azure Redis Cache is a secure, dedicated cache service from Microsoft, based on the Open Source Redis engine. In this session we will take a look at how you can leverage the new features to increase security, data resiliency and performance of Azure Redis Cache.</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2a038916261c4bad9676a5da00c470e4"" />",https://s.ch9.ms/Events/Build/2016/P534
47,Getting Started with Microsoft Identities:??Enterprise Grade Sign In For Your Apps,Stuart Kwan,"By supporting sign in with Microsoft identities, your application can have single sign on with Windows and Microsoft cloud applications, can protect your users with the same technology and investments used to protect Microsoft?? users, and can programmatically access information and insights about users via the Microsoft Graph. In this video, learn from the ground up how to build an application that enables sign in with Microsoft personal, work, and school accounts, and about the industry standard technologies that makes this possible. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:406b26877d4842b9be83a5da00c470dc"" />",https://s.ch9.ms/Events/Build/2016/P530
48,Selecting the Right VM Size,Jon Beck,"Azure provides a wide range of virtual machine sizes for any workload that you might want to run. Trying to decide which size is right for your workload can seem challenging. Join this session to find out about some of the considerations for selecting virtual machine sizes and learn the differences between different virtual machine size families and their regional availability. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:652e71306e334f78a3a0a5da00c470cd"" />",https://s.ch9.ms/Events/Build/2016/P523
49,Building Multitenant SaaS Applications with Tenant Isolation and Unlimited Scale on Azure SQL Database,Torsten Grabs,"If you are a SaaS application developer writing multitenant applications, you often face tradeoffs between development efficiency, manageability, as well as tenant performance and security. With Azure SQL Database Elastic Database Pools and its Elastic Database capabilities, you no longer have to make that compromise. In this session, we will explore how Elastic Database Pools help you build, manage and monitor multitenant applications with tenant isolation and minimal TCO by placing each tenant in its own database. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:57dbdcba47494485a798a5da00c470c7"" />",https://s.ch9.ms/Events/Build/2016/P522
50,Modeling Data for NoSQL Document Databases,"Ryan CrawCour, David Makogon","Application developers must support unprecedented rates of change ??functionality must rapidly evolve to meet customer needs and respond to competitive pressures. To address these realities, developers are increasingly selecting NoSQL document-oriented databases (e.g. Azure DocumentDB, MongoDB, CouchDB) for schema-free, scalable and high performance data storage. One of the oft-cited benefits of NoSQL solutions are that they allow for the storage of schema less data. In reality, however, NoSQL solutions provide for schema flexibility, allowing the system to store data as it comes in, permitting dissimilar structures and encouraging seamless data model iteration. While schema flexibility makes it easy to embrace changes to your data model, data modeling is still important in NoSQL systems. In this session, we??l discuss not only modeling data in Azure DocumentDB, but also migrating and transforming data from traditional, structured data environments. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:4b264dafdca24ba1a0b0a5da00c470c0"" />",https://s.ch9.ms/Events/Build/2016/P468
