id,title,speakers,description,link
132,Using the Right Networking API for Your UWP App,"Himadri Sarkar, Sidharth Nabar","The Universal Windows Platform (UWP) has a diverse set of networking APIs to enable developers to implement a wide range of scenarios. For many networking scenarios, there are multiple options available - Which API should a developer use for a given scenario? What are the tradeoffs of using one over the other? This talk helps answer these questions by walking through some broad networking scenarios and discussing how to choose the right API for each of them. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:31ed86bcc17e4eaab8e8a5d900c29f25"" />",https://s.ch9.ms/Events/Build/2016/P426
133,Business-to-Consumer Identity Management with Azure Active Directory B2C,Swaroop  Krishnamurthy,"Consumer identities are at the core of every consumer-facing application. Developers who manage them are facing growing challenges around cost, scalability and security. In this session, you will learn about Azure Active Directory B2C, an enterprise-grade, multi-tenant, cloud service that makes it easy to add secure consumer sign-up, sign-in, profile management &amp; password reset. Consumers can use their social accounts (Facebook, Google or Microsoft account) or create new credentials to access these applications. Azure Active Directory B2C provides fully customizable user experiences, is standards-based and works cross-platform. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d5bd142de00145929e86a5d900c29f1e"" />",https://s.ch9.ms/Events/Build/2016/P423
134,Bring a Web App to Windows in Under 5 Minutes with Windows App Studio,Peter Kruger,"Recorded session will cover a walkthrough of converting a web app into a Windows Hosted Web App (~2:30min) and will mention how to extend in vs to add more advanced functionality (2 min). <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:521d96142d974c7fb116a5d900c29f0b"" />",https://s.ch9.ms/Events/Build/2016/P417
135,Beyond Beacons: Proximal Awareness with Bluetooth LE,Kiran Pathakota,"Windows introduced support for Beacons at //Build 2015. Now, we explore some common use cases for Beacons and how they tie in with the rest of the Bluetooth APIs. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8c25bcf072e94df2a5dfa5d900c29f03"" />",https://s.ch9.ms/Events/Build/2016/P416
136,Bluetooth Device Companion Apps for Windows 10,Kiran Pathakota,"Don't leave your device without a companion! Ease user frustration and market yourselves to potential customers by delivering a performant app experience on Windows 10. With the new Bluetooth in app pairing APIs, it is easy to guide users down the righteous path and prevent common pitfalls of the pairing process. Learn how to query for nearby Bluetooth devices, gain user consent and quickly set up your Bluetooth LE device. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cbb403e8e62e42c1a0aaa5d900c29efa"" />",https://s.ch9.ms/Events/Build/2016/P415
137,Large-Scale Compute with Azure Batch,Mark Scurrell,"Azure Batch enables large-scale parallel and compute-intensive workloads to be easily and efficiently run in the Azure; execute your new or existing applications on tens to tens of thousands of VM??.&nbsp; In this demo-intensive session you??l see and learn about the many capabilities of Azure Batch, including some brand new features. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8810c38cefcb478f96cfa5d900c29edc"" />",https://s.ch9.ms/Events/Build/2016/P411
138,Building Cross-Platform Enterprise Mobile Apps with Visual Studio and Azure App Service,Donna Malayeri,"Great apps run on any device and connect to the cloud. Learn how Azure App Service helps build great connected mobile experiences, including single sign-on, push notifications, offline data sync, and connectivity to on-premises systems. Use Mobile App client SDKs to build a native experience on multiple platforms, including Xamarin, Windows, iOS, and Android. It is now easier than ever to add a mobile app to your existing enterprise apps! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e657dd3f5acd4712a1cda5d900c29ec0"" />",https://s.ch9.ms/Events/Build/2016/P408
139,Advanced File Searching in UWP,Adam Wilson (APPMODEL),"By leveraging the same local search technology as Cortana, File Explorer, Edge, and others, apps can help users find the data they need when they need it. This talk will cover: - How Edge stores and displays history results in the address bar - How Cortana, Settings app, and the control panel search through the settings on your machine - Leveraging the full power of the shell property system in your app. Viewers will be able to go back and add fast local search to their apps and delight users with the same (and better) functionality as first party apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3d5e64b7bcf24a50b0bea5d900c29e56"" />",https://s.ch9.ms/Events/Build/2016/P407
140,Adding Manipulations in the Visual Layer to Create Customized & Responsive Interactive Experiences,"Anthony Young, Lindsay Kubasik","Learn to enhance the user experience of your app and unleash your creativity with the new exciting element of interactivity linked to the powerful functionality of the animation engine in the visual layer. This talk show how to take animations beyond a typical time-based system and use input as the driving factor. We will start with a quick recap of how manipulations work today before moving on to building new creative and responsive interactive UI experiences for your Universal Windows Application. We will focus on how to hook up input animations to the flexibility of the visual layer to enable more customized scrolling and zooming experiences, input driven animation of effects, and other exciting responsive and interactive UI such as gesture based navigation. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ada85027073141258fdba5d900c29e4d"" />",https://s.ch9.ms/Events/Build/2016/P405
141,A Developers Guide to Azure SQL Data Warehouse,James Rowland-Jones,"Azure SQL Data Warehouse is a scale out database service designed to answer your ad hoc queries and questions. By spreading your data across distributions SQL Data Warehouse is designed for analytics at scale. To make the most of your database there are opportunities to tailor your table design and optimize for performance. This session will cover the fundamentals of data distribution, table design and query optimization; helping you to deliver the best performance for your solution. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e0bff457e1584a3092bfa5d900c29db8"" />",https://s.ch9.ms/Events/Build/2016/P402
142,Running Bash on Ubuntu on Windows!,"Russ Alexander, Rich Turner","<p>Running Bash on Ubuntu on Windows? Really? Yes, REALLY! In this video we??l outline why and how we??e enabling Windows 10 to run native Linux apps and tools directly on Windows! Watch to learn more and to see Bash running on Ubuntu on Windows!</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5a3b767f7ff24ce19f3ca5d900c2a3d0"" />",https://s.ch9.ms/Events/Build/2016/P488
143,Secure and Monitor Your Network,"Vijay Tinnanur, Siva Edupuganti","<p>Context of Network Security when you build applications on cloud; How can you monitor your network and gain additional insights</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a6db3889497d44ffa984a5d5016a99a2"" />",https://s.ch9.ms/Events/Build/2016/T699
144,Skype for Business Partner Integration Examples,"Richard Taylor, David Newman","Skype for Business enables developers to enhance the capabilities of their applications and ecosystems. Come see some real-world examples of integration scenarios that may spark your imagination! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:424d31006b374e679297a5d5016a9999"" />",https://s.ch9.ms/Events/Build/2016/T698
145,Unlock Real-Time Predictive Insights From the Internet of Things,Santosh Balasubramanian,"Real-time placeholder, due on 3/15 EOD <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:595b546a90ce4d13beb2a5d5016a998d"" />",https://s.ch9.ms/Events/Build/2016/T697-R1
146,U-SQL: 0-60 for Big Data with .NET,Matthew Winkler,"With&nbsp;Azure Data Lake we??e introducing a new SQL-based language called U-SQL, that combines the familiarity of SQL with&nbsp;C#&nbsp;extensions&nbsp;to make&nbsp;Big Data processing&nbsp;easy, and fun.&nbsp;In this presentation you will learn the concepts behind the new language and see examples of how to use it to query unstructured, semi-structured and structured data <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d1cdb0cec1af493fa2d7a5d5016a997d"" />",https://s.ch9.ms/Events/Build/2016/T696-R1
147,Building and Managing APIs on App Service,"Vladimir Vinogradsky, Darrell Miller","If you build Web APIs, internal or external, API Management is all about saving you time and money. It can make APIs easier to discover, easier to use, better controlled, perform better and more reliable. API Management takes advantage of the HTTP layered architecture to allow you to transparently add out-of-the-box functionality to your existing Web APIs. This talk will show you how to leverage API management to enable all kinds of functionality like HTTP caching, automatic retry handling, transparent versioning, tenant sharding, API fa??ading, response transformation, fragment caching, JWT authentication, logging and monitoring. API Management lets you focus on building making your APIs awesome and not waste time re-inventing standard HTTP mechanisms. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5fb372c70dc84e30a2aca5d5016a9975"" />",https://s.ch9.ms/Events/Build/2016/T695
148,Automate Business Process With Logic Apps (Deep Dive),"Kevin Lam, Jim Harrer","See how you can use Azure Logic Apps to automate business process that integrate with services in the cloud without using code. This session will introduce Logic App capabilities including its designer and DSL, how to take advantage of its management capabilities and exposing programmatic triggers with webhooks. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2bcab74549784fd3b9f0a5d5016a996f"" />",https://s.ch9.ms/Events/Build/2016/T694
149,Building MicroServices with Service Fabric,Matthew Snider,"MicroServices are on everyone's mind, come learn from the Service Fabric team why 25min is enough to get you excited on what we have to offer for your productivity <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:89b603ecae6c4e42b593a5d5016a9968"" />",https://s.ch9.ms/Events/Build/2016/T693
150,Azure Functions Under the Hood,"Yochay Kiriaty, Matthew Henderson","Azure functions is a new PaaS service which allows you to write &quot;functions,&quot; short pieces of code in the language of your choosing which respond to and process events. In this session, we??l look at some of the advanced features of Azure Functions and how they can be added to a development workflow. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:071faef9f23b48c4968ea5d5016a995f"" />",https://s.ch9.ms/Events/Build/2016/T692
151,Building an Application for the Azure Marketplace,Khalid Mouss,"Azure Marketplace is the place where Azure customers and partners meet. Come learn why use the marketplace and how to deploy and manage single and multi-tier solutions. As an existing or potential partner, we will also drill down and show case how to build and publish new solutions using Azure marketplace taking advantage of Azure resource manager (ARM) and Azure extensibility models and the benefits of using the platform to go to market for your solutions. Once you build an application that delights your customers, you can monetize it through the Microsoft Azure Marketplace. In this session, you will also hear about new upcoming Test Drive solutions. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:23e0f523f547461591b7a5d5016a9959"" />",https://s.ch9.ms/Events/Build/2016/T691
152,"Deploying, Managing, and Controlling Apps with Azure Resource Manager",Ryan Jones,"In this session, we??l talk about how ARM helps you author, deploy, monitor, and manage modern applications in the cloud. In parallel, we??l discuss how features such as auditing, role based access control, resource policy, and KeyVault ensure that your apps meet the governance requirements of your customers. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:abe694971a7f4ca98971a5d5016a9953"" />",https://s.ch9.ms/Events/Build/2016/T690
153,Leveraging the New Azure CDN APIs to Build ??icked Fast??Applications,"Manling Zhang, Kevin Zhang","Azure CDN offers developers a new CDN object model, APIs, and multiple SDKs to help you build global applications with massive scale, high performance and security. We will quickly walk you through the Azure CDN solution space. Next, we will demonstrate how easy it is to use the APIs to provide you the performance, reliability, and security you need to build world class applications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:00a784e400b0450d94c8a5d5016a9937"" />",https://s.ch9.ms/Events/Build/2016/T688
154,Premium Messaging & Messaging Scale,Dan Rosanova,"Includes how Halo, Xbox Live Events &amp; Office use Event Hubs for large scale telemetry <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:67b19ff1f30d4bc69cd9a5d5016a991d"" />",https://s.ch9.ms/Events/Build/2016/T686
155,Integrating Power BI into Your Own Applications ??Featuring Real World Demos,"Sanjay Soni, Josh Caplan","Visualizing data in applications is a powerful communications tool. Learn how to do this easily with Power BI <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f02833b6aa7d41f885ffa5d5016a9913"" />",https://s.ch9.ms/Events/Build/2016/T685
156,"Intelligent Systems: Advanced Analytics in Action for Retail, Healthcare and Manufacturing","Seayoung Rhee, Giampaolo Battaglia","In this theatre session, we??l be demoing key scenarios leveraging information management, big data and advanced analytics capabilities in industries such as retail, healthcare, or manufacturing. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:18051f16e7654755b69fa5d5016a9904"" />",https://s.ch9.ms/Events/Build/2016/T684
157,Building Analytics for the Modern Business,Matt Usher,"Modern businesses need to answer questions quickly. We??l explore how you can deliver a powerful data warehouse solution to answer these questions. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f2882b4935864e399aeba5d5016a98e9"" />",https://s.ch9.ms/Events/Build/2016/T682
158,Deep Dive Into IOT Starter Kit App: Architecture and Getting Started on Building Your IOT Solution,"James Montemagno, Harikrishna Menon","In this session Hari and James will go deeper into MyDriving IOT Starter Kit featured during the ScottGu keynote. Learn how we designed the architecture around this app, the patterns we used and how code reuse saved the team, time. Get started on taking our solution and building your own Azure IOT app. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:adb9c3ab37974dd79e3ba5d5016a93c4"" />",https://s.ch9.ms/Events/Build/2016/T673-R1
159,Tips for Using the F12 Edge Dev Tools,Andy Sterland,"This talk will cover tips &amp; demos to make you more productive diagnosing issues in Edge, specifically looking at: working with CSS (changes, editing &amp; diffing), pro tips for making JavaScript debugging a little less painful (set next statement, just my code, etc.) and using the F12 Edge Developer tools to debug &amp; profile UWPs. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:669a9f1d371f425ea71ea5d5016a93b4"" />",https://s.ch9.ms/Events/Build/2016/T672-R1
160,Python: Fill in the Gaps,Steve Dower,"You probably already code in C# or JavaScript, but how do you deal with problems that don?? fit these languages? Come find out how Python can fill that gap. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3878e91ce2004575bf1fa5d5016a93a9"" />",https://s.ch9.ms/Events/Build/2016/T670-R1
161,Using HockeyApp with Xamarin Apps,Joshua Weber,"<p>Come learn how pairing HockeyApp with Xamarin can provide a consistent mobile DevOps solution across all mobile app platforms. HockeyApp provides a comprehensive beta distribution platform, rich crash analytics, pairs with Visual Studio Team Services and common build and work management tools, and provides tools to understand user feedback and behavior. This session shows how pairing these tools can create a consistent workflow to increase your team?? development velocity.</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:10b5f44ecfec4009bd52a5d5016a9389"" />",https://s.ch9.ms/Events/Build/2016/T668-R1
162,"Native iOS, Android, & Windows Apps from C# and XAML with Xamarin.Forms",Mike James,"Building cross-platform native UIs with one shared codebase was once just a dream. With Xamarin.Forms, this dream is now a reality. Xamarin.Forms allows you to build a native UI for three platforms with one shared C# codebase. During this session we will cover the Xamarin.Forms library to share up to 99% of your code across iOS, Android, and Windows Phone. Moreover, we will really focus on the code with several live coding adventures throughout the entire session. When you leave you will have the knowledge to create your first iOS, Android, and Windows Phone mobile apps in C# with Xamarin and Xamarin.Forms. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:af5460e2c2bd4c1499c0a5d5016a9378"" />",https://s.ch9.ms/Events/Build/2016/T667-R1
163,Interactive Analytics with Application Insights,Guru Kirthigavasan,"Diagnostics or usage analysis of any application is never straight forward. The current tools available for developers and dev teams are very limiting. With Application Insights Analytics, we allow developers to query their application data in an adhoc and interactive fashion. Our goal is to help developers answer hardest questions about their applications instantly. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:eb2e07eb29b045269673a5d5016a9372"" />",https://s.ch9.ms/Events/Build/2016/T666
164,Getting Started with F# on .NET Core,David Stephens,"There?? more to .NET Core than just C#. F# is a functional-first .NET language that can help you write better software with less code. In this session, you'll learn how to get started with F# on .NET Core. We??l see how the .NET CLI makes it easy to create and run an F# project, then check out how to use visual studio Code to edit F#, even on OS X and Linux. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ae414a43be8c40f8a2d7a5d5016a9351"" />",https://s.ch9.ms/Events/Build/2016/T661
165,Make NuGet Your Company?? Component Repository,??ichard Lander,"NuGet is a free and open-source package manager from Microsoft. Many people think of NuGet as only a public repository of packages, but that?? not true. You can use NuGet as your company?? private repository as well. In this session we??l take a look at how you can set up your own private NuGet server within your own company to manage your own components. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2186efb6acf644df9bfea5d5016a9334"" />",https://s.ch9.ms/Events/Build/2016/T659-R1
166,Tools for XAML Apps in Visual Studio vNext,Unni Ravindranathan,"Visual Studio vNext has some great XAML tooling and we'll dive deeper to show you what's new! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:c4ca2ba92b90422a8a6aa5d5016a9320"" />",https://s.ch9.ms/Events/Build/2016/T658-R1
167,Instantly Releasing Updates to Your React Native Apps,Jonathan Carter,"React Native is a compelling platform for building cross-platform mobile apps, and like other JavaScript-based solutions, can take advantage of the ability to perform ??ot code pushes??of your code and assets, without needing to submit them to the stores. In this session, we??l discuss how the CodePush service makes performing over-air-updates easy, and how to integrate it into an existing React Native app <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a910e0567004402ba9e0a5d5016a92a8"" />",https://s.ch9.ms/Events/Build/2016/T657
168,Using the Microsoft Band with Windows 10 Background Events,"Ali Alvi, Tony Andrews","In this session, we'll highlight recent updates to the latest Microsoft Band SDK, and how to use them to use the UWP background execution model to create interactive experiences on the Microsoft Band. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:86ab68717b264c929b11a5d5016a927a"" />",https://s.ch9.ms/Events/Build/2016/T654-R1
169,How to Train Your Robot with Sensors and Bluetooth,"Kiran Pathakota, Rinku Sreedhar","Watch how a Universal Windows Platform app can use a combination of Bluetooth and sensor APIs to teach a robot how to respond to contextual changes in the world around it. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d4b0d22fc9564bbfb878a5d5016a9268"" />",https://s.ch9.ms/Events/Build/2016/T653-R1
170,Building Accessible UWP Apps,"Mariah Dunn, Sean Hayes","See how to identify and overcome more advanced challenges when making data-bound apps more accessible. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:9abf6e843c034b3faf4ea5d5016a925b"" />",https://s.ch9.ms/Events/Build/2016/T652-R1
171,Adapt Your App for Xbox One and TV,"Rob Cameron, Lynnette Reed","We'll look at practical design considerations and best practices that developers should take into account when optimizing their app experience for the Xbox One platform. We'll demonstrate real-world design-driven code and real app examples that turn your app into a premium Xbox One experience. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a428638b154a40eeabbca5d5016a922c"" />",https://s.ch9.ms/Events/Build/2016/T651-R1
172,Windows Store for Business and TeamViewer,"Jan Kalis, Alfredo Patron","The Windows Store is more than just a consumer app store. Join the Store team and TeamViewer as we discuss how the Windows Store for Business can help you reach new users in the SMB and prosumer space. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:7db70fd049e4486b972da5d5016a8c23"" />",https://s.ch9.ms/Events/Build/2016/T647-R1
173,Surface Hub: Designing and Building UWP Apps for the Large Screen,"Michael Hilsdale, Paul Barr","Designing for the Surface Hub means more than just a large canvas. We'll talk about the challenges and benefits of building a productive Surface Hub experience. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8c18db21db48420db2a4a5d5016a8bd4"" />",https://s.ch9.ms/Events/Build/2016/T646-R1
174,Five Things You Didn?? Know You Could Build with Microsoft Edge,"Charles Morris, Sean Lyndersay","Kick back and watch as we show off cool website code that you may not have thought was possible -- from an immersive game using WebGL to using biometric authentication on your website using Windows Hello. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8b86062324014c45a9b8a5d5016a8bbc"" />",https://s.ch9.ms/Events/Build/2016/T645-R1
175,The Magic Mirror: Powered by a Hosted Web App and Windows 10 on Raspberry Pi,Kiril Seksenov,"Check out a web-based app using a Raspberry Pi and camera to create a mirror that readies the owner to take on their day. In this session, we'll talk about how hosted web apps provide a new way of delivering rich local experiences with dynamic, server-side content. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e1ae2aa618e74646b25fa5d5016a8b92"" />",https://s.ch9.ms/Events/Build/2016/T644-R1
176,Getting to Know Office UI Fabric,Eric Thompson,"You may have known that Office UI Fabric is the official skin for Office Add-ins, but did you know that it?? also used by a myriad of teams within Office and Office 365? How about that there are multiple versions in the works for native platforms like iOS? Come learn more about Fabric including its origins, the philosophy behind the toolkit, and what?? on the roadmap for the official in-code representation of the Office Design Language. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cfb28a1065b248caa67ca5d5016a8b36"" />",https://s.ch9.ms/Events/Build/2016/T641
